Country,Alcohol,Nobel
Australia,12.2,5.006
Austria,10.3,24.577
Belgium,11,8.85
Canada,10.2,6.4
Chile,9.6,1.114
Denmark,11.4,24.695
Finland,12.3,7.268
France,12.2,9.473
Germany,11.8,13.013
Greece,10.3,1.826
Hungary,13.3,9.132
Ireland,11.9,14.93
Italy,6.7,3.345
Japan,7.2,1.896
Mexico,7.2,0.236
Netherlands,9.4,11.226
New Zealand,10.9,6.625
Norway,7.7,24.947
Poland,12.5,3.108
Portugal,12.9,1.932
Slovenia,11.6,4.837
Spain,11.2,1.735
Sweden,9.2,30.677
Switzerland,10.7,30.125
United Kingdom,11.6,19.315
United States,9.2,10.97